Product Id,Product Name (Relevant company name),Categories,Subcategories,Tags,Keywords,Price in rupees,Ratings,Eco Friendly
1001,kleenex ultra soft facial tissues kimberly clark,tissue paper,facial tissue,soft gentle absorbent,kleenex facial tissues soft tissues,299.0,4.8,1
1002,puffs plus lotion facial tissues kimberly clark,tissue paper,facial tissue,soft gentle absorbent lotion,puffs facial tissues soft tissues lotion,349.0,4.7,1
1003,angel soft facial tissues angel soft,tissue paper,facial tissue,soft gentle absorbent,angel soft facial tissues soft tissues,249.0,4.6,1
1004,cottonelle facial tissues kimberly clark,tissue paper,facial tissue,soft gentle absorbent,cottonelle facial tissues soft tissues,299.0,4.5,1
1005,kirkland signature signature facial tissues costco,tissue paper,facial tissue,soft gentle absorbent,kirkland signature facial tissues soft tissues,399.0,4.9,1
1006,seventh generation facial tissues seventh generation,tissue paper,facial tissue,recycled sustainable eco friendly,seventh generation facial tissues recycled tissues,449.0,4.8,2
1007,gives crap facial tissues gives crap,tissue paper,facial tissue,recycled sustainable eco friendly bamboo,gives crap facial tissues recycled tissues bamboo tissues,499.0,4.9,2
1008,bambu facial tissues bambu,tissue paper,facial tissue,sustainable eco friendly bamboo,bambu facial tissues bamboo tissues,499.0,4.8,2
1009,green forest facial tissues green forest,tissue paper,facial tissue,recycled sustainable eco friendly,green forest facial tissues recycled tissues,449.0,4.7,2
1010,better life facial tissues better life,tissue paper,facial tissue,sustainable eco friendly chemical free,better life facial tissues chemical free tissues,499.0,4.9,2
1011,kleenex toilet paper kimberly clark,tissue paper,toilet paper,soft strong absorbent,kleenex toilet paper,399.0,4.8,1
1012,scott toilet paper kimberly clark,tissue paper,toilet paper,soft strong absorbent,scott toilet paper,299.0,4.7,1
1013,angel soft toilet paper angel soft,tissue paper,toilet paper,soft strong absorbent,angel soft toilet paper,249.0,4.6,1
1014,cottonelle toilet paper kimberly clark,tissue paper,toilet paper,soft strong absorbent,cottonelle toilet paper,399.0,4.5,1
1015,kirkland signature signature toilet paper costco,tissue paper,toilet paper,soft strong absorbent,kirkland signature toilet paper,499.0,4.9,1
1016,seventh generation toilet paper seventh generation,tissue paper,toilet paper,recycled sustainable eco friendly,seventh generation toilet paper recycled tissues,549.0,4.8,2
1017,gives crap toilet paper gives crap,tissue paper,toilet paper,recycled sustainable eco friendly bamboo,gives crap toilet paper recycled tissues bamboo tissues,549.0,4.9,2
1018,bambu toilet paper bambu,tissue paper,toilet paper,sustainable eco friendly bamboo,bambu toilet paper bamboo tissues,549.0,4.8,2
1019,green forest toilet paper green forest,tissue paper,toilet paper,recycled sustainable eco friendly,green forest toilet paper recycled tissues,549.0,4.7,2
1020,better life toilet paper better life,tissue paper,toilet paper,sustainable eco friendly chemical free,better life toilet paper chemical free tissues,549.0,4.9,2
1021,plastic toothbrush colgate,bathroom,oral care,toothbrush,plastic toothbrush toothbrush adults,500.0,4.5,1
1022,bamboo toothbrush radius,bathroom,oral care,toothbrush,bamboo toothbrush toothbrush adults,600.0,4.7,2
1023,charcoal toothbrush burst,bathroom,oral care,toothbrush,charcoal toothbrush toothbrush adults,700.0,4.8,2
1024,electric toothbrush plastic head oral b,bathroom,oral care,electric toothbrush,electric toothbrush plastic head toothbrush adults,1000.0,4.9,1
1025,electric toothbrush bamboo head philips sonicare,bathroom,oral care,electric toothbrush,electric toothbrush bamboo head toothbrush adults,1200.0,4.9,2
1026,miswak stick brand,bathroom,oral care,toothbrush,miswak stick natural toothbrush,500.0,4.6,2
1027,neem stick brand,bathroom,oral care,toothbrush,neem stick natural toothbrush,500.0,4.7,2
1028,coconut husk brush brand,bathroom,oral care,toothbrush,coconut husk brush natural toothbrush,500.0,4.8,2
1029,finger brush brand,bathroom,oral care,toothbrush,finger brush natural toothbrush,500.0,4.9,2
1030,tongue scraper brand,bathroom,oral care,tongue scraper,tongue scraper oral hygiene tool,500.0,4.9,2
1031,water flosser brand,bathroom,oral care,water flosser,water flosser oral hygiene tool,2000.0,4.8,2
1032,ultrasonic toothbrush usmile,bathroom,oral care,toothbrush,ultrasonic toothbrush electric toothbrush,4000.0,4.9,1
1033,uv toothbrush sanitizer steripen,bathroom,oral care,toothbrush sanitizer,uv toothbrush sanitizer toothbrush sterilizer,2000.0,4.8,1
1034,composable toothbrush head humble brush,bathroom,oral care,toothbrush head,compostable toothbrush head biodegradable toothbrush head,500.0,4.7,2
1035,recycled toothbrush preserve,bathroom,oral care,toothbrush,recycled toothbrush eco friendly toothbrush,500.0,4.8,2
1036,electric toothbrush recycled head bissell,bathroom,oral care,electric toothbrush,electric toothbrush recycled head eco friendly electric toothbrush,1500.0,4.9,2
1037,bamboo toothbrush charcoal bristles burst,bathroom,oral care,toothbrush,bamboo toothbrush charcoal bristles eco friendly toothbrush,600.0,4.7,2
1038,bamboo toothbrush compostable bristles humble brush,bathroom,oral care,toothbrush,bamboo toothbrush compostable bristles eco friendly toothbrush,700.0,4.8,2
1039,electric toothbrush bamboo head compostable bristles radius,bathroom,oral care,electric toothbrush,electric toothbrush bamboo head compostable bristles eco friendly electric toothbrush,2000.0,4.9,2
1040,toothbrush holder recycled materials preserve,bathroom,oral care,toothbrush holder,toothbrush holder recycled materials eco friendly toothbrush holder,1000.0,4.8,2
1041,south curve laptop stand bamboo,laptop accessories,laptop stands,ergonomic portable adjustable bamboo,laptop stand ergonomic laptop stand portable laptop stand adjustable laptop stand bamboo laptop stand,5999.0,4.8,2
1042,rain design mstand laptop stand bamboo,laptop accessories,laptop stands,ergonomic sleek durable bamboo,laptop stand ergonomic laptop stand sleek laptop stand durable laptop stand,5999.0,4.7,1
1043,satechi bamboo laptop stand,laptop accessories,laptop stands,ergonomic minimalist stable bamboo,laptop stand ergonomic laptop stand minimalist laptop stand stable laptop stand,2999.0,4.6,1
1044,boyata bamboo laptop stand desk,laptop accessories,laptop stands,adjustable foldable portable bamboo,laptop stand adjustable laptop stand foldable laptop stand portable laptop stand,2499.0,4.5,1
1045,amazon basics bamboo laptop stand,laptop accessories,laptop stands,ergonomic adjustable affordable bamboo,laptop stand ergonomic laptop stand adjustable laptop stand affordable laptop stand bamboo laptop stand,1999.0,4.4,2
1046,ergonomic laptop stand humanscale bamboo,laptop accessories,laptop stands,ergonomic adjustable height adjustable bamboo,laptop stand ergonomic laptop stand adjustable laptop stand height adjustable laptop stand,6999.0,4.9,2
1047,laptop stand cooling fan havit bamboo,laptop accessories,laptop stands,cooling adjustable ergonomic bamboo,laptop stand cooling laptop stand adjustable laptop stand ergonomic laptop stand,3499.0,4.8,1
