Product Id,Product Name (Relevant company name),Categories,Subcategories,Tags,Keywords,Price in rupees,Ratings,Eco Friendly
1001,Kleenex Ultra Soft Facial Tissues (Kimberly-Clark),Tissue Paper,Facial Tissue,"Soft, Gentle, Absorbent","Kleenex, Facial Tissues, Soft Tissues",299,4.8,1
1002,Puffs Plus Lotion Facial Tissues (Kimberly-Clark),Tissue Paper,Facial Tissue,"Soft, Gentle, Absorbent with Lotion","Puffs, Facial Tissues, Soft Tissues with Lotion",349,4.7,1
1003,Angel Soft Facial Tissues (Angel Soft),Tissue Paper,Facial Tissue,"Soft, Gentle, Absorbent","Angel Soft, Facial Tissues, Soft Tissues",249,4.6,1
1004,Cottonelle Facial Tissues (Kimberly-Clark),Tissue Paper,Facial Tissue,"Soft, Gentle, Absorbent","Cottonelle, Facial Tissues, Soft Tissues",299,4.5,1
1005,Kirkland Signature Signature Facial Tissues (Costco),Tissue Paper,Facial Tissue,"Soft, Gentle, Absorbent","Kirkland Signature, Facial Tissues, Soft Tissues",399,4.9,1
1006,Seventh Generation Facial Tissues (Seventh Generation),Tissue Paper,Facial Tissue,"Recycled, Sustainable, Eco-Friendly","Seventh Generation, Facial Tissues, Recycled Tissues",449,4.8,2
1007,Who Gives A Crap Facial Tissues (Who Gives A Crap),Tissue Paper,Facial Tissue,"Recycled, Sustainable, Eco-Friendly, Bamboo","Who Gives A Crap, Facial Tissues, Recycled Tissues, Bamboo Tissues",499,4.9,2
1008,Bambu Facial Tissues (Bambu),Tissue Paper,Facial Tissue,"Sustainable, Eco-Friendly, Bamboo","Bambu, Facial Tissues, Bamboo Tissues",499,4.8,2
1009,Green Forest Facial Tissues (Green Forest),Tissue Paper,Facial Tissue,"Recycled, Sustainable, Eco-Friendly","Green Forest, Facial Tissues, Recycled Tissues",449,4.7,2
1010,Better Life Facial Tissues (Better Life),Tissue Paper,Facial Tissue,"Sustainable, Eco-Friendly, Chemical-Free","Better Life, Facial Tissues, Chemical-Free Tissues",499,4.9,2
